a 阿啊腌嗄锕吖呵錒𠼞𥥩𨉚𱚱
ku 苦库哭酷裤枯窟骷绔刳喾圐矻㗄㠸㩿㪂㱠㲄㵠䂗䇢䉐䔯䧊䯇䵈俈古嚳圣堀崫庫廤扝挎捁掘搰朏桍楛泏焅狜瘔硞秙窋絝袴褲趶跍跨郀鮬齁𠠶𠺟𡀙𡉄𡑚𡑣𡗵𡞯𡶏𡼿𢏆𢼁𣗺𥈷𥌄𥞴𥟾𥧋𥯶𦛏𦜇𦡆𧊘𧠂𧷎𧿉𧿋𨐡𨡱𩇵𩊓𩑔𩑡𩑶𩨳𩱙𪇄𪌓𪍠𱗞
kua 跨夸垮挎胯侉姱㐄㛻㡁䓙䠸䦚䦱䯞咵恗晇楇絓舿華袔誇銙錁顝骻髁𠇗𡇚𡕒𡗢𡗸𡱼𢄳𢓢𥏤𥑹𦮃𨃖𨕺𨵧𩊓𱎶
kuai 快块筷脍蒯侩浍郐狯哙㧟鲙㔞㕟㙕㟴㱮㹟䈛䓒䭝䯤会傀儈凷噲圦塊墤巜廥擓旝會檜澮狤獪璯糩膾蕢鄶駃鬠魁鱠𠜐𠣲𡚅𡼾𢢞𢾒𣫉𥢶𦔦𦳋𨛖𩦱𫐆𲄗
kuan 款宽髋㯘㱁䕀䥗䲌完寛寬梡棵欵歀窽窾臗鑧顆髖𢕫𢴪𣎑𣢻𣽟𥟓𥦀
kuang 况矿框狂旷眶匡筐邝圹哐贶夼诳诓纩洭鵟𫛭㑌㚚㾠䊯䒰䖱䯑䵃丱儣兄劻匩卝呈壙岲廣忹恇懬懭抂昿曠枉況湟爌狅眖矌砿硄磺礦穬筺絋絖纊誆誑貺軖軠軦軭迋逛邼鄺鉱鋛鑛黋𡶢𡾇𢼑𢼳𣍦𣒸𣴥𤝿𤞇𥈏𦚞𦥰𧥌𧻔𧻺𧿈𨀕𨇁𨏆𨖢𨥑𨨭𨴑𩢼𩬹𩷗𪍿𪏪𬘢𱖟𲉨
kui 亏奎愧魁馈溃匮葵窥盔逵睽馗聩喟夔篑岿喹揆隗傀暌跬蒉愦悝蝰戣櫆煃骙𫠆㒑㕟㙓㙺㚍㨒䃬䕚䕫䖯䙆䙌䙡䞚䟸䠏䠑䠿䤆䧶䫔䫥䯓䯣䰎䳫刲匱嘳媿嬇尯巋巙憒晆楏楑樻欳歸殨潰犪瞆瞶磈窺簣籄缺聧聭聵胿腃膭臾蒍蕢藈蘬蘷虁虧觖謉踩蹞躨鄈鍨鍷鐀鑎闋闚頃頄頍頯顝餽饋騤鮭𠊾𠣠𠿥𡌤𡐠𡒾𡓰𡤞𡯵𢌳𢜽𢼀𣄲𣥮𣧼𤆂𤏜𤵮𥁇𥏙𥜶𥪊𦝢𧂠𧄑𧍜𧑋𧝷𧡦𧡫𧢦𧷛𧻜𧻲𨣈𨾎𨾗𩏣𩓗𩕜𩠮𩲅𩲷𩵉𩹍𪆴𪖢
kun 困昆坤捆琨锟鲲醌髡悃阃堃壸婫焜裈鹍㡓㩲㫻㱎䐊䖵䠅䪲卵堒壼尡崐崑晜梱涃混潉熴猑瑻睏硱祵稇稛綑罤菎蜫裍裩褌豤貇錕閫閸頑餛騉髠髨鯤鰥鵾鶤齦𠚯𡖉𢈛𣏔𣰘𣱂𥊽𥚛𦄐𦌸𦓾𧋕𧥊𨁉𨱙𩓽𩤋𩨫𩭋𩻋𩽞𪋆𪘩
kuo 扩括阔廓蛞㗥㾧䟯䦢䩹䯺噋噲懖拡挄擴會栝桰漷濶燭秳筈萿葀适鄺闊霩鞟鞹韕頢髺鬠𠚳𠠎𡎒𡻙𢠛𤫵𥕏𦧍𦧔𨓈𨨱𨶐𩋻𪗽𱨸
la 拉落垃腊啦辣蜡喇剌旯砬邋瘌蝲镴鞡鯻𬶟㕇㡴㩉㯿㱞㸊㻋㻝䂰䃳䏀䏠䓥䖃䗶䱨䱫䶛儠嚹揦揧搚摺擸攋柆楋溂爉瓎癩磖翋臈臘菈蓝藍藞蝋蠟辢鑞鬎鱲𠾩𡅘𡉆𢃴𢈠𢉨𢤆𣤊𤀦𤊶𤛊𤰚𤷟𥀥𥀰𥈙𥖍𥗿𥘁𦅶𦆻𦇛𦎏𦒆𦒦𧗩𧙀𧞪𧩲𨭛𩃜𩋷𩑮𩘊𩤲𩧆𩨉𩯽𪇹𱗌𱴂
lai 来莱赖睐徕籁涞赉濑癞崃铼俫梾㚓㥎㸊䂾䄤䅘䋱䓶䚅䠭䧒䲚來倈勑厲唻娕婡崍庲徠懶攋棶櫴淶瀨瀬猍琜癘癩睞筙箂籟萊藾襰誺賚賴逨郲釐錸頼顂騋鯠鵣鶆麳黧𠎙𠘝𡂖𡃄𡓒𢅭𢑬𣖤𤢗𤢵𤦃𤲓𦆋𦓹𧯲𧳕𧳟𧵭𨂐𨇆𨦂𩳆𪈈𪑚
lan 兰览蓝篮栏岚烂滥缆揽澜拦懒榄斓婪阑褴罱啉谰镧漤襕𬒗㑣㔋㘓㘕㛦㜮㞩㦨㨫㩜㰖㱫㳕䃹䄤䆾䈒䌫䍀䑌䦨䪍䰐僋儖厱嚂囒囕坔壈壏嬾孄孏嵐幱廩惏懔懢懶擥攔攬斕暕欄欖欗浨湅漣濫瀾灆灠灡煉燗燣燷爁爛爤爦璼瓓礷籃籣糷繿纜葻藍蘫蘭襤襴襽覧覽諫譋讕躝連郴醂鑭钄闌韊顲𠓖𠓭𠼖𡒄𡓔𡮻𡽳𢅡𢉧𢊓𢒞𢛓𢹙𣋣𣛱𤂺𤃨𤑸𤣟𥌻𥗺𥗽𥜓𥦝𦧼𧮤𧸦𧼖𨅏𨅬𨊔𨎹𨣨𨣸𨬒𨷻𩈵𩉀𩔵𩟺𪇖𮆏
lang 浪朗郎廊狼琅榔螂阆锒莨啷蒗稂㫰㮾埌塱崀桹烺筤蓢㓪㙟㝗㟍㢃㱢㾿䀶䆡䍚䕞䡙䯖䱶俍勆哴唥嫏悢斏朖朤樃樠欴瑯硠羹脼艆蓈蜋誏踉躴郒郞鋃鎯閬駺鿶鿾𠺘𠻴𢳑𢽂𣊧𣻡𥇑𥍫𥧫𦵧𦺫𧚅𧻴𨞿𨱍𨶗𩛡𩲒𩳤𩷕𪁜
lao 老劳牢捞涝烙姥佬崂唠酪潦痨醪铑铹栳耢嫪橑荖𡑍𫭼㗦㞠㟉㟹㧯㨓㺐䃕䇭䕩䜎䜮䝁䝤䲏䳓䵏僗僚労勞咾哰嗠嘐嘮嫽嶗恅憥憦撈撩朥橯浶澇狫獠珯癆硓磱窂簩粩絡络耂耮落蓼蛯蟧躼軂轑銠鐒顟髝鮱鿲𠈭𡂕𡬘𢚄𢭂𣘪𣟽𣠼𤉍𤎤𤛮𤩂𤶁𥢒𦒴𦛨𦺜𧢋𧯍𧰎𨡤𨣃𨦭𨲮𪀧𪁔𱏱𱸇𲄚
le 了乐勒肋叻鳓仂泐簕饹㔹㖀㦡㿭嘞忇扐楽樂氻牞玏砳竻艻阞韷餎鰳𡃖𣂒𣲒𤟓𤨙𥖪𩐾𱛔
lei 类累雷勒泪蕾垒磊擂镭肋羸耒儡嫘缧酹嘞诔檑癗礌罍藟㑍㒍㒦㔣㗊㙼㠥㲕㴃㵢㵽㶟㹎㼍㿔䃬䉂䉪䍣䐯䒹䛶䢮䣂䣦䨓䮑䴎傫儽厽塁壘壨婁攂樏櫐櫑欙洡涙淚漯灅瓃畾瘣盧矋磥礧礨祱禷絫縲纇纍纝腂蔂蕌蘱蘲蘽虆蠝誄讄轠郲銇錑鐳鑘鑸靁頛頪類颣鱩鸓鼺𠱤𡈶𡔇𡚗𡰠𡻭𡻱𡼊𡾋𡾖𡿉𡿛𢴱𢹮𣀀𣀜𣚎𣠠𣡧𣡺𣨅𤃻𤜖𤡂𤢹𤮎𤮚𤮸𤳳𤳴𤼘𥅦𥍔𥑶𥗬𥗶𥣬𥤐𦇄𦓥𦢏𦣄𧒜𧒽𧞭𨀤𨄱𨊚𨏒𨞽𨶺𨻌𩑚𩔗𩛝𩴻𩵓𪑯𱕰𱰥
len 啉
leng 冷愣棱楞塄堎崚㘄㱥䉄䬋䮚倰睖碐稜薐踜輘𥈮𦼊𧼔𨈓𩩡
li 理力利立里李历例离励礼丽黎璃厉厘粒莉梨隶栗荔沥犁漓哩狸藜罹篱鲤砺吏澧俐骊溧砾莅锂笠蠡蛎痢雳俪傈醴栎郦俚枥喱逦娌鹂戾砬唳坜疠蜊黧猁粝蓠呖跞疬缡鲡鳢嫠詈苈篥轹㠣㰀凓峛朸浬浰珕瓅醨釐𫵷𬍛㑦㒧㒿㓯㔏㕸㗚㘑㛤㟳㠟㡂㤡㤦㦒㧰㬏㮚㯤㰚㱹㴝㷰㸚㹈㺡㻎㻺㼖㽁㽝㾐㾖㿛㿨䁻䃯䄜䅄䅻䇐䉫䊍䊪䋥䍠䍥䍦䍽䓞䔁䔆䔉䔣䔧䕻䖥䖽䖿䗍䘈䙰䚕䟏䟐䡃䣓䣫䤙䤚䥶䧉䬅䬆䮋䮥䰛䰜䱘䲞䴡䴻䵓䵩䶘仂位儮儷兣刕列剓剺劙勵厤厯厲叓叕叻唎嚟嚦囄囇塛壢娳婯孋孷屴岦峢峲巁廲悝悡悧悷慄扐扚捩搮擽攊攦攭斄暦曆曞杝柂栃栛梩梸棃棙樆檪櫔櫟櫪欐欚歴歷氂沴泣涖淚濼濿瀝灑灕爄爏犂犛犡珞琍瑮瓈瓑瓥癘癧皪盠盭睝矖砅硌磿礪礫礰禮禲秝穲竰筣籬粴糎糲綟縭纅纚翮脷艃苙茘荲菞蒚蒞蔾藶蘺蚸蛠蜧蝕蝷蟍蟸蠇蠣蠫裏裡褵觻謧讈豊貍赲躒轢轣邌邐酈釃鉝銐鋫鋰錅錑鎘鏫鑗鑠隷隸離霾靂靋颯驪鬁鬲鬴鯉鯏鯬鱧鱱鱳鱺鳨鴗鵹鷅鸝麗麜黐礼𠌯𠘞𠘟𠚄𠛘𠛦𠝄𠞉𠞙𠞤𠠏𠠝𠠵𠢠𠩵𠪄𠪺𠫌𠭰𠻗𠼝𠾆𡃷𡆯𡤌𡥽𡫯𡮰𡯄𡳸𡸉𡾒𡿋𡿎𢄡𢌈𢍼𢏃𢛮𢟢𢟤𢡑𢤂𢤆𢤩𢨨𢩑𢮃𢸀𢻠𣀂𣀥𣀷𣁟𣌅𣌜𣐬𣖊𣘬𣞴𣟌𣦯𣧿𣫥𣫧𣮉𣯤𣲒𣿞𤁼𤃀𤄽𤇃𤔨𤖢𤗫𤘃𤚓𤜜𤟑𤠫𤡿𤢴𤩮𤭜𤳓𤹇𤹈𤻤𤼚𥁟𥉆𥊈𥌛𥌤𥌮𥌿𥎓𥎔𥒢𥓃𥝢𥠲𥣥𥨻𥬭𥲧𥲪𥴡𥶗𥷅𥷗𥻑𥻿𥼅𥽈𥽗𦃇𦃊𦅺𦇔𦎐𦔓𦕸𦘊𦜏𦠓𦢱𦪶𦪾𦫈𦺙𧄚𧄻𧅮𧅯𧉲𧋎𧋠𧍀𧑇𧒈𧓽𧔝𧕮𧕯𧘫𧙉𧚩𧢝𧤜𧥖𧧋𧫬𧮛𧯏𧰡𧲡𧴠𧽲𨁸𨃙𨄛𨇎𨇗𨊛𨍫𨍮𨏬𨓦𨘸𨛋𨛫𨜼𨝏𨝖𨝟𨞺𨟑𨢌𨤫𨪹𨬑𨯽𨴻𨷦𨽹𨽻𩁟𩄞𩅩𩆝𩆲𩗅𩗭𩘟𩘡𩙖𩞨𩣫𩥬𩥴𩧃𩧋𩪸𩭇𩯺𩰲𩱇𩳓𩴣𩶘𩷋𩻌𩽏𩽵𪁐𪅆𪅼𪌱𪏵𪏼𪐅𪑚𪒔𪓀𪕴𪖂𪖍𪗁𪙺𪙽𫁡𫄥𫟷𭀖
lia 俩倆
lian 联连练廉炼脸莲恋链帘怜涟敛琏镰濂楝鲢殓潋裢裣奁蠊蔹梿浰瑓磏鰊𬶠㜃㜕㜻㝺㟀㡘㢘㥕㦁㪘㪝㯬㰈㰸㱨㶌㶑㺦㼑㼓㾾䁠䃛䆂䌞䏈䙺䥥䨬䭑亷令僆劆匲匳嗹噒堜奩媡嫾嬚孌慩憐戀搛摙撿攣斂槏槤櫣欄歛殮湅溓漣澰濓瀲煉熑燫璉瞵稴簾籢籨練縺纞羷羸翴聨聫聮聯膦臁臉苓萰蓮薕薟蘝蘞螊褳襝覝謰譧蹥輦連鄻醶錬鍊鎌鏈鐮零鬑鰱鱄𠋖𠒵𠔨𠗳𡆕𡟤𢅏𢅖𢉧𣀃𣝈𣞰𣟺𣿊𤑿𤒦𤗛𤣆𤬓𤹨𤼏𤾲𥖝𥲥𥽸𦆆𦈐𦔖𦖾𦣸𧍴𧐖𧡙𧡴𧸖𧸘𧽫𨎷𨏩𨏶𨬁𨽷𩄡𩞙𩟅𪍦𪍴𪐋𪐍𪖳𪚁𪛒𱘉𱧚𱬏
liang 量两粮良辆亮梁凉俩谅粱晾踉椋魉墚䓣俍倞悢辌𫟅𬜯㒳㔝㹁㾗䀶䁁䝶䠃䣼䩫䭪両倆兩哴唡啢喨惊掚樑涼湸煷糧綡緉脼莨蜋蜽裲諒蹣輌輛輬鍄閬靓靚駺魎鿄鿌𠓜𠯱𡑆𡮎𣄴𣓈𤙝𥈘𥛫𨄈𨎍𨎛𨱉𨵶𩗾𩘁𩞯𩷕𮉧𮔊𮖁𱜬
liao 料疗辽廖聊寥僚燎缭撂撩嘹镣寮蓼獠钌尥鹩嫽憭橑漻瞭簝蹽髎𪤗㙩㝋㡻㵳㶫䄦䉼䎆䑠䒿䜍䜮䝀䝤䢧䨅䩍了佬僇勞叾尞尦屪嵺嶚嶛廫憀摎敹暸曢樂樛潦炓爎爒璙療窌窷竂繆繚膋膫藔蟉蟟蟧豂賿蹘轑遼鄝釕鏐鐐镽飂飉鷯𠐋𠖂𠨥𠺕𡻪𢄷𢊻𢨺𢸘𢻢𢼙𢿞𣁰𣎸𣟆𣩢𤊽𤑗𤵠𥗀𥛰𥲊𦌒𦕵𦗖𦪕𦺹𧂏𧘈𧝜𧡜𧽽𨖚𨣀𩕐𩖝𩯊𩴤𪌀𪌵𪖷
lie 列烈劣裂猎冽咧趔洌鬣埒捩躐䴕脟鱲𫚭㤠㤡㧜㬯㭞㭩㯿㲱㸹㼲㽟䁽䃳䅀䉭䋑䓟䜲䝓䟩䟹䪉䬅例倈儠劦劽哷埓奊姴峛巁巤忚挒挘擖擸栗栵棙毟浖烮煭燤爄爉犣猟獦獵睙累綟聗膊臘茢蛚迾邋颲鬛鮤鴷𠛱𠠗𠷈𡁓𡂏𡂩𡊻𡏵𡒏𡓍𡭣𡿩𢣓𣁷𣁻𣋲𣖊𣝚𣰌𤁯𤐱𤓿𤖺𤜓𤞊𤡕𤢪𤱃𤱛𥪂𥬭𥲁𥶢𥷨𥸸𦅶𦓓𦓤𦖩𦾳𧀨𧓐𧞕𧞪𧭌𧭞𧰠𨆍𨕜𨤤𩆣𩙑𩢾𩧆𩧮𩨐𩭌𩼭
lin 林临邻赁琳磷淋麟霖鳞凛拎遴蔺吝粼嶙躏廪檩啉辚膦瞵懔潾璘箖翷鏻驎𬘭𬭸𬴊㐭㔂㖁㝝㡘㨆㷠䉮䕲䗲䚏䚬䢯䫐䫰䮼亃任伈僯冧凜厸壣崊廩恡悋惏懍撛斴晽暽橉檁溓滲澟瀶焛燐獜玪甐疄痳癛癝碄稟粦繗臨菻藺賃蹸躙躪轔轥鄰閵隣顲魿鱗麐𠐼𠓮𡃦𡬜𡰚𡳞𡶱𡹇𡻫𡿠𣇰𤂶𤌎𤎭𤗷𥓆𥳞𥶒𥷖𥻋𥼭𦺸𧃮𧖔𧲂𧵧𧶆𧹩𨏨𨸻𩞻𩣖𩱬𩴠𩻜
ling 领令另零灵龄陵岭凌玲铃菱伶羚苓聆翎泠瓴囹绫呤棂蛉酃鲮柃㥄坽姈崚昤澪祾舲鸰〇㖫㡵㦭㪮㬡㯪㱥㲆㸳㻏㾉䄥䈊䉁䉖䉹䌢䍅䔖䕘䖅䙥䚖䠲䡼䡿䧙䨩䮚䯍䰱䴇䴒䴫倰冷刢夌婈孁岺嶺彾怜拎掕朎棱櫺欞淩瀮炩燯爧狑琌皊砱磷秢稜竛笭紷綾蓤蔆蕶蘦衑袊裬詅跉軨輘醽釘鈴錂閝阾霊霗霛霝靇靈領駖魿鯪鴒鹷麢齡齢龗𠄖𠏡𠟨𠠢𠡭𠱠𠻠𠻱𠾥𡈍𡕮𡿡𢌔𢔁𢩗𢹝𢺰𣌟𣣋𣬹𤃩𤖦𤜙𤣘𤧘𤨻𤫩𤫲𤷖𤿅𥌼𥤜𥤞𥥋𥩔𥵝𥺙𥾂𦉢𦊓𦐽𦫃𦫊𧆺𧕅𧖜𧟙𧨈𧰻𧱢𧲙𧾇𧾮𨞎𨠎𨱋𨽲𩂙𩃞𩄊𩆒𩆚𩆮𩆻𩆼𩇄𩇎𩊂𩑊𩖊𩖵𩚹𩜁𩟃𩪥𩬔𩲩𩵀𪅋𪋳𪋾𪌏𪕌𪛈𫐉𱗟𱰮
liu 流刘六留柳瘤硫溜浏榴琉馏遛鎏骝绺镏旒熘鹨锍珋瑬疁罶镠飗鹠㐬㙀㚹㧕㨨㶯㽌㽞䄂䉧䗜䚧䝀䬟䰘䱖䱞䶉僂劉嚠塯媹嬼嵧廇懰摎斿旈栁桞桺橊橮沠泖泵游漻澑瀏熮瑠璢畂畄畱癅硐碌磂磟窌綹羀翏聊蒥蓅蓼蔞藰蟉裗蹓鉚鋶鎦鏐鐂陆陸雡霤飀飂飅餾駠駵騮驑鬸鰡鶹鷚麍𠗽𠛓𠪐𠺕𡻪𢏭𢔲𢞭𢣠𢤐𢷶𣞗𣟑𣠚𣱳𣲖𤥗𤮷𥀓𥆦𥌐𥛅𥠷𥥹𥧕𥨌𥰣𥶅𥹷𦀠𦃓𦉉𦊑𦊗𦊿𦌁𦑾𧏓𧮗𨋖𨍸𨢇𨦰𨪕𨪿𨶪𨻧𩆎𩖴𩗩𩙄𩢞𪃂𪆱𪇯𪎣
lo 咯囖
long 龙隆垄笼拢聋陇胧珑窿茏咙砻泷栊癃哢昽漋眬篢𬕂㑝㙙㚅㛞㝫㟖㡣㢅㦕㰍㳥㴳䃧䆍䏊䙪䡁䥢䪊䮾䰱儱嚨垅壟壠寵屸嶐巃巄弄徿攏曨朧梇槞櫳湰滝瀧爖瓏矓硦礱礲竉竜篭籠聾蕯蘢蝕蠪蠬衖襱谾豅贚躘鏧鑨隴霳靇驡鸗龍龐龒龓𠮽𠱚𠾐𡃡𡬍𡬕𡱯𢙱𢤱𢤲𢸭𣫣𤵸𤼃𤾭𥦌𥪢𥪻𥬆𥳌𥸉𦨩𦪽𧍰𧙥𧚂𨇘𨏠𨐇𨛓𨺚𩂽𩄺𩙘𩙠𩟭𩧪𪐖𪔕𪔳𪔷𪚑𪚓𪚘𪚝𪚠𫢒𱛓
lou 楼露漏陋娄搂篓喽镂偻瘘髅耧蝼嵝蒌䁖剅溇𪣻㔷㟺㡞㥪㪹㲎㺏䄛䅹䝏䣚䫫䮫䱾僂嘍塿婁寠屚嶁廔慺摟樓漊熡牢甊瘺瘻瞜窶簍耬艛蔞螻謱軁遱鏤鞻髏𠖛𠗩𠞭𠳴𡀔𡇭𡗆𡡎𡪅𡰌𢈢𣤋𣫻𤋏𤠋𤬏𥕍𦌁𦎹𦝼𦭯𦸢𧁾𧢃𧫞𧯨𧰃𧷡𨄋𨝢𨦖𨫒𨱐𨻻𩏝𩨇𪍣𫠥
lu 路陆录露鲁卢炉鹿禄赂芦庐碌麓颅泸卤潞鹭辘虏璐漉噜戮鲈掳橹轳逯渌撸鸬栌氇胪镥簏舻辂垆僇勠澛琭甪稑箓菉蕗鑪騄𫘧𬬻㓐㔪㖨㛬㜙㟤㠠㢚㢳㦇㪐㪖㪭㫽㭔㯝㯟㯭㱺㼾㿖䃙䌒䍡䎑䎼䐂䘵䚄䟿䡎䡜䥨䩮䮉䰕䱚䲐䴪侓六剹勎嚕嚧圥坴塶塷壚娽峍廘廬彔摝擄擼攄攎曥枦椂樐樚櫓櫨氌淕淥滷瀂瀘熝爐獹玈璷瓐瘳盝盧睩矑硉硵磟磠祿穋簬簵簶籙籚粶緑繆纑绿罏翏膔膚臚舮艣艪艫蓼蓾蔍蘆虂虜螰蠦角觮觻謢谷賁賂趢踛蹗輅轆轤鄜酪醁鈩錄録錴鏀鏕鏴鐪鑥陸顱騼髗魯魲鯥鱳鱸鵦鵱鷺鸕鹵黸𠀽𠿛𡀔𡉴𡳴𡴆𡷏𢂤𢊩𢋡𢟧𢫫𢯅𢲸𢵮𢻵𢾬𣆐𣞓𣥐𣩏𣱀𣼟𤝮𤟘𤢊𤣃𤨍𤬛𤮧𤺼𤻱𤽺𤿴𥀔𥀵𥈛𥉶𥒨𥚊𥛞𥛪𥣤𥫰𥲎𥶇𦋔𦌕𦌟𦗓𦪇𦸐𦼋𦽂𦽎𦾞𦾷𦿊𦿖𧀦𧆣𧇄𧌉𧌍𧐳𧨹𧫓𧽥𨁸𨇖𨌠𨏔𨽐𩄅𩅄𩌫𩍼𩓪𩛼𩣱𩯜𪉖𪉣𪍄𪑄𪒏𪖌𪾦𮉡𮬠𱏤𱸧
luan 乱卵滦峦鸾栾銮挛孪脔娈㝈㡩㱍䏈䖂䜌乿亂圝圞奱孌孿巒攣曫欒灓灤癴癵羉脟臠臡薍虊覶釠鑾鵉鸞龻𠦨𡄹𡡗𡭸𡰠𢌕𢺈𢿢𣨀𤔔𤲶𤼙𦣋𦣏𧖘𨄄𨇼𨈌𨈎𨊟𩪾𪢮𰁜𱤦
lun 论轮伦仑纶沦抡囵埨錀𫭢𬬭㖮㷍䈁䑳侖倫圇婨崘崙惀掄棆淪溣睔碖磮稐綸耣腀菕蜦論踚輪陯鯩𠔕𠼩𡃝𤲕𤷔𥿑𦓾𧣵𧱜𪨧𱛍𲉉
luo 落罗络洛逻螺锣骆萝裸漯摞骡箩珞捋荦硌雒椤瘰泺脶猡倮蠃啰蓏㑩㒩㓢㔏㞅㦬㩡㪾㰁㱻㴖㸹㼈㽋㾧㿚䀩䃕䇔䈷䉓䊨䌱䌴䎊䗍䮑䯁䴹儸儽剆咯囉峈挼捰攎攞攭曪果格樂橐櫟欏欙洜濼烙爍犖猓玀癳皪砢硦碌礫笿籮絡纙罖羅腡臝茖蘿蛒蜾蝸蠡袼覙覶覼詻跞路躒躶邏酪鉻鎯鏍鑼镙頱饠駱騾驘鮥鱳鴼鵅鸁𠉗𠏢𠜖𠶱𠻐𠻡𡁆𡆆𡤢𡿏𢅾𢺆𢺑𣁻𣂞𣎆𣛗𣜄𣜢𣧳𣨪𣵟𤄷𤔖𤔝𤗀𤨗𤬁𤽥𤽼𥡜𥯛𦆁𦣇𦣖𦣛𦿌𧄿𧈦𧟌𧭥𧷳𧹐𨇽𨏒𨟥𨬅𨰠𩂣𩉙𩊚𩌭𩍪𩎊𩮹𩵇𩼊𩽰𪇱𪈰𪌳𪎆𪑋𫌨𫗩𭹜
lv 率律旅绿虑履吕铝屡氯缕滤侣驴榈闾偻褛捋膂稆垏梠葎𦝼㔧㛎㠥㡞㭚㲶㻲㾔䔞䕡䢖䥨䮫侶僂儢勴呂哷壘婁寠寽屢嵂廬慮慺挔捛樓櫖櫚櫨氀漊濾焒爈瘻盧瞜祣穞穭箻簍累絽綠緑縷繂膐膟膢臚菉蔞藘褸謱軁郘鋁録鏤鑢閭馿驢魯鷜鹿𠜈𠣊𠷈𠻜𡀿𡡎𡾅𢅞𢈚𢙲𢟳𢣻𢯰𣀞𣥐𣭇𤁵𤗬𤝽𤾺𥖼𥡢𥭐𥰠𥶆𥶌𦆾𦊼𦛗𦭯𦳭𧃒𧈔𧍶𧓻𧜊𧭜𨂠𩄽𩥆𩲦𩳡𩴐𪈜𮣶
lve 略掠锊䂮圙㑼㔀㗉㨼䌎䛚䤣剠寽擽率畧稤藥詻鋝鋢𠢌𠼟𦊹𧎾𧐋𧐯𧑀𧕌𪅅
ma 马吗麻码妈玛嘛骂蚂唛蟆犸杩嬷孖祃㐷㑻㕰㜫㦄㨸㾺䀛䀣䗫䣕䣖䧞䯦䳸么亇傌嗎嘜嚜媽嫲嬤抹摩榪溤犘獁瑪痲痳睰碼礣禡罵蔴螞蟇貉貊遤鎷閁靡馬駡驀鬕鰢鷌麽𡻤𢉿𢊀𢋚𢳀𣨜𤳂𥀏𥉊𥉵𥧓𧪨𨰾𨳿𩀪𩊃𩔶𩔷𩨲𩶞𪐎𪒜𪓹
mai 买卖麦迈脉埋霾荬劢鿏㜥㦟䁲䘑䚑䜕䥑䨪䨫䮮佅勱咪哩唛嘪売派脈蕒薶衇貍買賣邁霡霢鷶麥鿺𠿆𢠼𥇯𥌚𦏢𦙻𦚡𧱘𨤢𩈗𩊍𩍃𪄳𪍇𪒪𱧴𲋶
man 满慢曼漫蔓瞒蛮鳗馒幔谩螨缦镘颟墁鞔嫚澫蔄鬘𬜬㒼㗈㙢㛧㡢㬅㵘㿸䅼䊡䐽䒥䕕䛲䜱䝡䝢䟂䡬䯶䰋僈埋姏屘幕悗慲摱槾樠満滿澷熳獌睌瞞矕絻縵蘰蟎蠻襔謾蹣鄤鏋鏝顢饅鬗鰻𡕢𡢚𡻩𢦈𢿜𣁜𤅎𤜘𥊑𥧭𥬈𥲈𥲑𦎌𦔔𧆏𧖵𧜞𧱼𨲛𨲾𩅍𩆓𩈦𩛎𩛟𩬞𩮉𪈿𪍩𪑪
mang 忙盲茫芒氓莽蟒邙硭漭厖尨杧牤牻㝑㟌㟐㟿㡛㤶㬒㴇㻊䁳䅒䈍䏵䒎䓼䖟䵨吂哤壾娏庬恾朚朦杗汒浝狵甿痝盳瞢硥笀茻莾蘉蛖蠎釯鋩铓駹鸏龍𠈵𠮵𡅖𡘪𡩩𡩽𡵀𣙷𣯬𣶈𤛘𤰡𥁃𥆙𥐞𥝕𥤩𥭚𥮎𦎨𦜭𨛌𩅁𩒿𩙸𩛲𩪎𩭒𩷶𪁪𪚢
mao 贸毛矛冒貌茂茅帽猫髦锚懋袤牦卯铆耄峁瑁蟊茆蝥旄泖昴瞀楙眊芼鄚㒵㒻㚹㝟㡌㧇㧌㪞㫯㮘㲠㴘㺺㿞䀤䅦䋃䓮䡚䫉䭷乮侔兞冃冇冐勖務堥夘媢嵍愗戼描暓枆柕毣毷氂渵牟犛皃秏笷緢罞耗萺蓩蛑蝐覒貇貓貿軞鄮酕鉚鉾錨霿髳鶜𠔼𠤝𡜢𡹰𢂹𢅉𢘅𢝌𢨯𢯾𢽢𣊃𣔺𣨇𣬵𣭮𣯀𣴟𣴼𣹪𤚜𤛖𤝄𤥰𤲰𥄸𥈆𥎟𥟪𦀸𦳁𦼪𧍟𧐟𧒚𧓿𧔨𧠊𨈥𨥨𨦜𨩩𨺸𩛨𩫁𩬞𩭾𩿂𪃑𱚦𲌰
me 么嚒嚜末没濹癦麼麽
mei 美没每煤梅媒枚妹眉魅霉昧媚玫酶镁湄寐莓袂楣嵋镅浼鹛媄渼瑂郿㙁㭑㺳䀛䆀䆊䉋䊈䍙䓺䜸䤂䰨䰪䱕䵢凂呅味嚜坆坶堳塺墨娒媺嬍嵄徾抺挴攗旀某栂楳槑櫗毎氼沒沬湈溦煝燘猸珻痗眊眛睂睸矀祙禖穈篃糜羙脄脢腜膴苺葿蘪蝞谜跊躾鋂鎂鎇韎鬽鶥黣黴𠊉𠍨𠪃𡲭𢮇𣟸𤈦𤚤𤽃𥞊𥧴𦼻𧭵𧳬𨉭𨜘𩈐𩋿𩎟𩫍𩲈𩲢𩴈𪂜𪃏𪉏𪎦𪎭
